GISJOIN,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,B08AA1970,B08AA1980,B08AA1990,B08AA2000,B08AA2010,B08AB1970,B08AB1980,B08AB1990,B08AB2000,B08AB2010,B08AC1970,B08AC1980,B08AC1990,B08AC2000,B08AC2010,B08AD1970,B08AD1980,B08AD1990,B08AD2000,B08AD2010,B08AE1970,B08AE1980,B08AE1990,B08AE2000,B08AE2010,B08AF1970,B08AF1980,B08AF1990,B08AF2000,B08AF2010,B08AG1970,B08AG1980,B08AG1990,B08AG2000,B08AG2010,B08AH1970,B08AH1980,B08AH1990,B08AH2000,B08AH2010,B08AI1970,B08AI1980,B08AI1990,B08AI2000,B08AI2010,B08AJ2000,B08AJ2010
"G0100010","Alabama","01","010","Autauga County","001","0010",17511,24846,27144,35221,42855,6911,7224,6845,7473,9643,4,97,68,183,219,14,20,42,39,41,1,0,12,24,67,2,6,16,28,82,2,8,14,36,123,0,0,3,2,7,15,58,78,244,647,405,869
"G0100030","Alabama","01","010","Baldwin County","003","0030",48650,65922,84565,122366,156153,10569,12035,12640,14444,17105,84,432,629,737,1179,18,18,23,35,61,4,0,30,108,303,12,6,22,101,236,7,35,34,57,83,2,0,10,12,31,36,108,327,1001,4333,1466,2723
"G0100050","Alabama","01","010","Barbour County","005","0050",12134,13661,14118,14887,13180,10389,11003,11194,13451,12875,10,21,45,120,109,6,0,1,6,2,2,0,9,23,14,0,28,1,1,7,0,8,9,13,15,0,12,0,4,4,2,23,40,308,987,212,258
"G0100070","Alabama","01","010","Bibb County","007","0070",9953,12040,13052,15966,17381,3850,3675,3478,4624,5047,1,2,25,40,64,0,3,0,0,0,1,0,5,1,4,1,0,0,5,4,1,0,0,1,0,2,3,2,1,0,3,0,14,72,212,107,203
"G0100090","Alabama","01","010","Blount County","009","0090",26205,35668,38397,48512,53068,629,661,521,606,761,15,98,133,238,298,2,0,0,2,1,0,0,2,6,27,1,0,8,23,33,1,2,10,16,8,0,5,0,0,6,0,25,177,1089,2426,519,684
"G0100110","Alabama","01","010","Bullock County","011","0110",3857,3431,3036,2958,2507,7965,7160,7986,8564,7666,2,0,7,43,23,0,5,0,3,1,0,0,0,0,3,0,0,6,8,11,0,0,0,1,0,0,0,1,1,0,0,0,6,53,617,82,86
"G0100130","Alabama","01","010","Butler County","013","0130",13174,13255,13049,12492,11399,8820,8397,8798,8732,9095,3,14,24,41,58,1,6,0,4,0,1,0,0,4,11,4,0,3,5,6,1,0,4,2,109,2,0,0,0,0,1,8,14,31,106,84,161
"G0100150","Alabama","01","010","Calhoun County","015","0150",85186,97382,92873,88537,88840,17584,21005,21578,20810,24382,85,283,293,422,520,51,63,85,59,57,19,52,49,59,108,29,84,73,77,123,17,206,332,214,165,11,35,13,12,17,110,651,738,950,2350,1081,1975
"G0100170","Alabama","01","010","Chambers County","017","0170",23695,25286,23575,22271,20112,12637,13894,13221,13943,13257,10,5,40,40,67,2,0,2,4,8,0,0,3,10,15,3,0,4,12,22,2,0,2,7,66,2,6,0,0,7,5,0,29,78,274,209,385
"G0100190","Alabama","01","010","Cherokee County","019","0190",14199,17168,18154,22268,24081,1393,1550,1291,1330,1208,4,25,50,74,132,1,12,3,2,3,0,0,0,5,14,2,0,4,11,20,1,0,2,4,0,4,0,0,0,1,2,5,39,88,141,198,387
"G0100210","Alabama","01","010","Chilton County","021","0210",21762,26940,28647,34330,36713,3410,3631,3674,4200,4230,4,0,62,106,151,1,8,7,7,10,0,0,1,14,19,0,33,15,25,33,2,0,1,9,6,0,0,0,0,2,1,0,51,622,1969,275,506
"G0100230","Alabama","01","010","Choctaw County","023","0230",9276,9505,8913,8779,7731,7309,7319,7077,7027,6012,0,8,10,22,17,0,0,1,2,3,0,0,1,0,0,2,0,0,0,4,0,7,2,0,1,0,0,2,0,0,2,0,12,22,32,67,58
"G0100250","Alabama","01","010","Clarke County","025","0250",15008,15764,15527,15589,14070,11701,11827,11625,11989,11336,8,87,45,56,100,1,0,11,4,5,0,0,0,18,20,2,7,2,2,5,3,0,4,8,3,0,0,1,1,2,1,17,25,58,112,136,176
"G0100270","Alabama","01","010","Clay County","027","0270",10578,11427,11044,11776,11380,2041,2268,2166,2238,2066,5,8,22,41,54,2,0,2,1,0,2,0,0,2,5,6,0,0,4,5,0,0,0,1,0,1,0,2,1,0,1,0,16,77,187,112,235
"G0100290","Alabama","01","010","Cleburne County","029","0290",10346,11918,12084,13380,14079,640,647,587,523,498,6,0,19,35,49,1,13,8,6,6,0,0,0,0,1,1,0,2,1,5,0,5,2,6,3,0,0,0,0,0,2,12,28,56,169,109,160
"G0100310","Alabama","01","010","Coffee County","031","0310",28853,31657,32702,33631,37330,5965,6532,6917,8013,8359,20,115,161,372,619,10,32,32,36,43,0,0,16,31,54,3,0,23,50,131,7,82,156,181,244,2,0,18,16,22,12,115,215,526,1864,730,1247
"G0100330","Alabama","01","010","Colbert County","033","0330",41105,45254,42820,44825,43789,8480,9146,8568,9137,8768,20,63,137,196,264,11,5,12,7,13,0,0,16,26,40,1,0,3,9,37,1,0,12,8,12,3,2,0,6,8,11,49,98,274,648,487,845
"G0100350","Alabama","01","010","Conecuh County","035","0350",8654,9332,8063,7806,6788,6986,6534,5925,6136,6149,2,18,43,26,44,0,0,2,0,0,0,0,0,0,4,1,0,2,5,5,0,0,1,2,2,0,0,1,6,0,2,0,17,21,104,84,132
"G0100370","Alabama","01","010","Coosa County","037","0370",6906,7420,7242,7802,7648,3736,3950,3782,4172,3582,7,0,34,33,39,0,0,0,1,2,6,0,0,1,3,1,0,0,1,5,1,0,0,0,2,2,7,0,0,0,3,0,5,79,154,107,103
"G0100390","Alabama","01","010","Covington County","039","0390",29015,31867,31551,32436,32022,5043,4845,4777,4648,4716,7,22,72,172,212,5,2,8,6,4,0,8,6,13,28,1,0,1,16,20,0,49,12,8,29,0,0,0,1,1,8,57,51,89,204,233,522
"G0100410","Alabama","01","010","Crenshaw County","041","0410",9386,10399,10048,10088,10097,3779,3693,3544,3388,3254,5,0,24,45,53,0,0,0,1,1,2,0,0,0,0,0,0,2,3,9,2,6,3,2,158,2,7,0,0,0,12,5,14,40,128,95,202
"G0100430","Alabama","01","010","Cullman County","043","0430",51872,60894,66744,75011,76133,521,550,560,743,856,20,103,134,267,400,13,5,12,13,63,2,0,15,28,65,2,5,9,17,55,1,17,38,39,27,1,0,2,13,8,13,68,99,534,1898,795,889
"G0100450","Alabama","01","010","Dale County","045","0450",45817,38832,39365,36541,37236,6448,7828,8847,10002,9679,77,348,234,267,363,138,104,105,80,60,28,14,23,23,33,55,52,90,77,89,68,199,273,234,169,30,38,42,30,23,277,406,654,783,1079,1054,1505
"G0100470","Alabama","01","010","Dallas County","047","0470",26330,24399,20121,16496,12769,28892,29488,27825,29332,30423,18,7,41,46,85,10,0,10,11,10,6,10,10,10,11,8,0,1,11,14,3,0,9,19,6,1,10,0,0,2,28,67,113,178,200,255,299
"G0100490","Alabama","01","010","DeKalb County","049","0490",41123,52497,52980,59652,60087,821,962,1028,1083,1078,16,120,480,500,957,6,0,19,7,15,0,6,6,11,20,5,4,18,48,60,7,0,6,8,10,1,9,6,4,9,2,60,108,2075,7281,1041,1574
"G0100510","Alabama","01","010","Elmore County","051","0510",24045,33610,37850,50737,60455,9454,9655,11039,13597,15900,11,34,134,255,281,9,30,15,23,19,2,0,3,19,34,8,7,25,35,78,0,0,16,29,82,3,15,7,6,13,3,39,121,453,1283,685,1144
"G0100530","Alabama","01","010","Escambia County","053","0530",23748,26051,24326,24754,23784,10601,11376,10046,11837,12220,541,955,1047,1104,1272,0,6,2,2,6,0,0,5,17,21,2,6,6,22,22,2,4,14,12,3,4,6,1,5,5,8,36,71,199,384,434,580
"G0100550","Alabama","01","010","Etowah County","055","0550",81010,88526,85274,85737,83823,13044,13773,13799,15191,15796,28,486,243,321,437,25,65,191,51,40,2,2,61,62,126,9,11,29,45,93,6,13,23,47,30,1,7,4,3,5,19,174,216,1009,2511,963,1545
"G0100570","Alabama","01","010","Fayette County","057","0570",13989,16379,15717,16075,14910,2254,2372,2190,2207,1969,1,0,9,35,51,0,0,6,5,3,0,37,0,6,10,0,7,4,10,10,1,0,6,1,2,1,9,1,0,0,6,5,29,58,114,95,171
"G0100590","Alabama","01","010","Franklin County","059","0590",22728,26994,26463,28001,26320,1198,1301,1249,1314,1228,1,30,57,93,214,1,0,0,0,0,0,0,0,3,13,1,0,24,17,24,2,0,0,3,4,0,0,0,0,0,2,25,21,1483,3370,299,530
"G0100610","Alabama","01","010","Geneva County","061","0610",19029,21002,20682,22442,23127,2866,3097,2824,2743,2539,24,123,91,184,223,1,8,3,2,3,0,0,0,0,15,1,0,1,7,12,0,2,5,4,3,0,10,0,3,5,3,11,41,181,446,185,416
"G0100630","Alabama","01","010","Greene County","063","0630",2619,2425,1966,1904,1575,8027,8596,8181,8013,7370,1,0,3,12,17,0,0,0,0,0,0,0,0,0,1,3,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,3,18,30,27,43
"G0100650","Alabama","01","010","Hale County","065","0650",5336,5758,6255,6844,6266,10542,9799,9214,10131,9301,2,0,20,22,22,2,0,1,7,2,1,0,0,0,10,1,6,1,18,12,2,0,2,0,4,2,19,0,0,0,0,22,5,56,51,99,88
"G0100670","Alabama","01","010","Henry County","067","0670",7907,9485,9918,10710,11865,5341,5799,5395,5268,4942,2,0,30,34,56,2,0,0,1,3,1,0,0,0,15,0,0,1,4,2,0,6,1,2,6,1,0,4,0,1,0,12,25,170,235,121,176
"G0100690","Alabama","01","010","Houston County","069","0690",43069,57517,61513,64886,71053,13408,16464,18954,21840,26176,38,260,287,304,430,35,67,107,79,92,2,33,44,83,92,3,0,30,32,90,4,28,28,58,81,0,0,7,8,11,15,263,361,636,1741,820,1759
"G0100710","Alabama","01","010","Jackson County","071","0710",37175,48985,44696,49552,48348,1980,2090,1968,2019,1781,22,270,1019,898,710,10,15,13,14,7,1,5,5,21,27,4,0,14,15,44,1,0,10,11,12,0,0,1,3,0,9,42,70,264,910,1077,1378
"G0100730","Alabama","01","010","Jefferson County","073","0730",437433,444359,418317,384639,349166,206464,223716,228521,260608,276525,371,752,853,1326,1691,205,189,200,271,273,112,299,916,1760,2169,94,110,221,334,598,70,231,405,611,702,37,128,29,43,45,205,1540,2063,6986,19866,5326,7275
"G0100750","Alabama","01","010","Lamar County","075","0750",12366,14435,13805,13816,12626,1955,1997,1862,1906,1643,0,7,24,17,22,5,2,0,1,0,0,0,1,1,1,3,2,5,4,1,5,2,2,1,1,0,0,0,0,0,1,8,16,76,86,81,183
"G0100770","Alabama","01","010","Lauderdale County","077","0770",60866,72271,71560,77743,80112,7196,7747,7695,8663,9257,9,238,163,212,321,19,17,14,25,79,0,52,48,80,220,1,45,14,28,51,8,36,28,26,27,0,0,9,11,5,12,140,130,467,1314,696,1306
"G0100790","Alabama","01","010","Lawrence County","079","0790",22161,25021,24563,27067,26647,5114,5074,4798,4648,3938,1,59,2124,1814,1931,1,13,3,4,2,0,0,0,10,8,0,0,6,8,8,2,0,1,1,2,1,0,0,0,3,1,3,18,126,300,1071,1478
"G0100810","Alabama","01","010","Lee County","081","0810",44109,57011,64889,85247,100006,17012,18646,20407,26071,31901,11,118,122,259,437,9,12,57,69,102,69,147,528,621,880,3,23,78,87,149,10,33,167,262,1189,1,3,2,8,24,44,290,896,1347,3238,1069,2259
"G0100830","Alabama","01","010","Limestone County","083","0830",34528,39207,46658,55029,66506,7123,6585,7127,8752,10429,9,74,146,284,534,10,44,21,35,51,0,0,16,10,142,0,5,13,32,96,0,24,17,35,181,0,0,4,3,8,29,66,133,878,3355,599,1468
